Pokemon Id,Pokedex Number,Pokemon Name,Classification,Alternate Form Name,Original Pokemon ID,Legendary Type,Primary Type,Secondary Type,Primary Ability,Primary Ability Description,Secondary Ability,Secondary Ability Description,Hidden Ability,Hidden Ability Description,Special Event Ability,Special Event Ability Description,Base Happiness,Game(s) of Origin,Experience Growth,Experience Yield,Primary Egg Group,Secondary Egg Group,Egg Cycle Count,Pre-Evolution Pokemon Id,Evolution Details
1,1,Bulbasaur,Seed Pokemon,NA,NA,None,Grass,Poison,Overgrow,Powers up Grass-type moves when the Pokémon's HP is low.,NA,NA,Chlorophyll,Boosts the Pokémon's Speed stat in harsh sunlight.,NA,NA,70,Red,Medium Slow,64,Monster,Grass,20,NA,NA
2,2,Ivysaur,Seed Pokemon,NA,NA,None,Grass,Poison,Overgrow,Powers up Grass-type moves when the Pokémon's HP is low.,NA,NA,Chlorophyll,Boosts the Pokémon's Speed stat in harsh sunlight.,NA,NA,70,Red,Medium Slow,142,Monster,Grass,20,1,Level 16
3,3,Venusaur,Seed Pokemon,NA,NA,None,Grass,Poison,Overgrow,Powers up Grass-type moves when the Pokémon's HP is low.,NA,NA,Chlorophyll,Boosts the Pokémon's Speed stat in harsh sunlight.,NA,NA,70,Red,Medium Slow,236,Monster,Grass,20,2,Level 32
4,3,Venusaur,Seed Pokemon,Mega,3,None,Grass,Poison,Thick Fat,"The Pokémon is protected by a layer of thick fat, which halves the damage taken from Fire- and Ice-type moves.",NA,NA,NA,NA,NA,NA,70,X,Medium Slow,281,Monster,Grass,20,NA,NA
5,4,Charmander,Lizard Pokemon,NA,NA,None,Fire,None,Blaze,Powers up Fire-type moves when the Pokémon's HP is low.,NA,NA,Solar Power,"Boosts the Sp. Atk stat in harsh sunlight, but HP decreases every turn.",NA,NA,70,Red,Medium Slow,62,Monster,Dragon,20,NA,NA
6,5,Charmeleon,Flame Pokemon,NA,NA,None,Fire,None,Blaze,Powers up Fire-type moves when the Pokémon's HP is low.,NA,NA,Solar Power,"Boosts the Sp. Atk stat in harsh sunlight, but HP decreases every turn.",NA,NA,70,Red,Medium Slow,142,Monster,Dragon,20,5,Level 16
7,6,Charizard,Flame Pokemon,NA,NA,None,Fire,Flying,Blaze,Powers up Fire-type moves when the Pokémon's HP is low.,NA,NA,Solar Power,"Boosts the Sp. Atk stat in harsh sunlight, but HP decreases every turn.",NA,NA,70,Red,Medium Slow,240,Monster,Dragon,20,6,Level 32
8,6,Charizard,Flame Pokemon,Mega X,7,None,Fire,Dragon,Tough Claws,Powers up moves that make direct contact.,NA,NA,NA,NA,NA,NA,70,X,Medium Slow,285,Monster,Dragon,20,NA,NA
9,6,Charizard,Flame Pokemon,Mega Y,7,None,Fire,Flying,Drought,Turns the sunlight harsh when the Pokémon enters a battle.,NA,NA,NA,NA,NA,NA,70,X,Medium Slow,285,Monster,Dragon,20,NA,NA
10,7,Squirtle,Tiny Turtle Pokemon,NA,NA,None,Water,None,Torrent,Powers up Water-type moves when the Pokémon's HP is low.,NA,NA,Rain Dish,The Pokémon gradually regains HP in rain.,NA,NA,70,Red,Medium Slow,63,Monster,Water 1,20,NA,NA
11,8,Wartortle,Turtle Pokemon,NA,NA,None,Water,None,Torrent,Powers up Water-type moves when the Pokémon's HP is low.,NA,NA,Rain Dish,The Pokémon gradually regains HP in rain.,NA,NA,70,Red,Medium Slow,142,Monster,Water 1,20,10,Level 16
12,9,Blastoise,Shellfish Pokemon,NA,NA,None,Water,None,Torrent,Powers up Water-type moves when the Pokémon's HP is low.,NA,NA,Rain Dish,The Pokémon gradually regains HP in rain.,NA,NA,70,Red,Medium Slow,239,Monster,Water 1,20,11,Level 32
13,9,Blastoise,Shellfish Pokemon,Mega,12,None,Water,None,Mega Launcher,Powers up aura and pulse moves.,NA,NA,NA,NA,NA,NA,70,X,Medium Slow,284,Monster,Water 1,20,NA,NA
14,848,Toxel,Baby Pokemon,NA,NA,None,Electric,Poison,Rattled,"Dark-, Ghost-, and Bug-type moves scare the Pokémon and boost its Speed stat.",Static,"The Pokémon is charged with static electricity, so contact with it may cause paralysis.",Klutz,The Pokémon can't use any held items.,NA,NA,50,Sword,Medium Slow,48,Undiscovered,NA,25,NA,NA
15,849,Toxtricity,Punk Pokemon,NA,NA,None,Electric,Poison,Punk Rock,Boosts the power of sound-based moves. The Pokémon also takes half the damage from these kinds of moves.,Plus,Boosts the Sp. Atk stat of the Pokémon if an ally with the Plus or Minus Ability is also in battle.,Technician,Powers up the Pokémon's weaker moves.,NA,NA,50,Sword,Medium Slow,176,Human-Like,NA,25,14,"Level 30 With An Adamant, Brave, Docile, Hardy, Hasty, Impish, Jolly, Lax, Naive, Naughty, Quirky, Rash, or Sassy Nature"
16,849,Toxtricity,Punk Pokemon,Low Key,15,None,Electric,Poison,Punk Rock,Boosts the power of sound-based moves. The Pokémon also takes half the damage from these kinds of moves.,Minus,Boosts the Sp. Atk stat of the Pokémon if an ally with the Plus or Minus Ability is also in battle.,Technician,Powers up the Pokémon's weaker moves.,NA,NA,50,Sword,Medium Slow,176,Human-Like,NA,25,14,"Level 30 With A Bashful, Bold, Calm, Careful, Gentle, Lonely, Mild, Modest, Quiet, Relaxed, Serious, or Timid Nature"
17,30,Nidorina,Poison Pin Pokemon,NA,NA,None,Poison,None,Poison Point,Contact with the Pokémon may poison the attacker.,Rivalry,"Becomes competitive and deals more damage to Pokémon of the same gender, but deals less to Pokémon of the opposite gender.",Hustle,"Boosts the Attack stat, but lowers accuracy.",NA,NA,70,Red,Medium Slow,128,Undiscovered,NA,20,33,Level 16
18,31,Nidoqueen,Drill Pokemon,NA,NA,None,Poison,Ground,Poison Point,Contact with the Pokémon may poison the attacker.,Rivalry,"Becomes competitive and deals more damage to Pokémon of the same gender, but deals less to Pokémon of the opposite gender.",Sheer Force,Removes additional effects to increase the power of moves when attacking.,NA,NA,70,Red,Medium Slow,227,Undiscovered,NA,20,17,Moon Stone
19,392,Infernape,Flame Pokemon,NA,NA,None,Fire,Fighting,Blaze,Powers up Fire-type moves when the Pokémon's HP is low.,NA,NA,Iron Fist,Powers up punching moves.,NA,NA,70,Diamond,Medium Slow,240,Field,Human-Like,20,35,Level 36
20,403,Shinx,Flash Pokemon,NA,NA,None,Electric,None,Rivalry,"Becomes competitive and deals more damage to Pokémon of the same gender, but deals less to Pokémon of the opposite gender.",Intimidate,"The Pokémon intimidates opposing Pokémon upon entering battle, lowering their Attack stat.",Guts,It's so gutsy that having a status condition boosts the Pokémon's Attack stat.,NA,NA,70,Diamond,Medium Slow,53,Field,NA,20,NA,NA
